City,Start Time,End Time,Weather,Rain (%),Min Temp,Max Temp,Comfort
臺東縣,2025-05-17 00:00:00,2025-05-17 06:00:00,多雲時陰,20,25,26,舒適
臺東縣,2025-05-17 06:00:00,2025-05-17 18:00:00,多雲短暫陣雨,30,25,31,舒適至悶熱
臺東縣,2025-05-17 18:00:00,2025-05-18 06:00:00,多雲短暫陣雨,30,25,28,舒適至悶熱
