City,Start Time,End Time,Weather,Rain (%),Min Temp,Max Temp,Comfort
臺北市,2025-05-17 00:00:00,2025-05-17 06:00:00,多雲,0,25,27,舒適
臺北市,2025-05-17 06:00:00,2025-05-17 18:00:00,晴午後短暫雷陣雨,70,25,35,舒適至易中暑
臺北市,2025-05-17 18:00:00,2025-05-18 06:00:00,多雲短暫陣雨,30,26,31,舒適至悶熱
